,Company,Job Title,Job Location,Job Date,Job Image URL
43,Reliance Health,Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4D0BAQGz2MAmNGdUfQ/company-logo_100_100/0/1642678205634?e=2147483647&v=beta&t=SWsgAh-SdL8yAoXMt4zhwtxarX-hMKJmfyh2H-j3kL8
44,Udacity,Program Coordinator,Egypt,2 weeks ago,https://media-exp1.licdn.com/dms/image/C560BAQHiNYfm0YHKrg/company-logo_100_100/0/1656621848272?e=2147483647&v=beta&t=LScuiZRXTMa84YWve4InQYOLbVpxJ8RHRZ-xwrWlJW8
45,Valeo,Artificial Intelligence Research Engineer - CDA,"Cairo, Cairo, Egypt",2 days ago,https://media-exp1.licdn.com/dms/image/C4D0BAQF8x8kpXJLBkg/company-logo_100_100/0/1571910608340?e=2147483647&v=beta&t=ALm57PCKwvt9MdsNMkuHTOj_YGlvqV1oo5ITqfIDBD8
46,McKinsey & Company,Capabilities & Insights Analyst - Client Capabilities Network,"Cairo, Cairo, Egypt",6 days ago,https://media-exp1.licdn.com/dms/image/C560BAQHP1XsqU9L_XQ/company-logo_100_100/0/1656621713859?e=2147483647&v=beta&t=aI0T4FA6INOIASEGIZKAiMrO_VUHMIz3j75k0k77PFs
47,MoneyFellows,Data Analyst,"Cairo, Cairo, Egypt",4 months ago,https://media-exp1.licdn.com/dms/image/C560BAQFtm8J14fUtKA/company-logo_100_100/0/1547357095324?e=2147483647&v=beta&t=MvesAC0RzhxEsCc3L2or73cCleQeYnGvPlnOJ-sDmBE
48,Pixelogic Media,Project Manager (Localization and Digital Media),"Cairo, Cairo, Egypt",2 months ago,https://media-exp1.licdn.com/dms/image/C4E0BAQFAn8ThTS0gJQ/company-logo_100_100/0/1519906764631?e=2147483647&v=beta&t=r-1MCRBkBz9PATgn2a2bjVYqn0nLMCVS4eGvi1yZdY8
49,ZealPay,Data Engineer,"Cairo, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHqNhHeJK-YpQ/company-logo_100_100/0/1647180730176?e=2147483647&v=beta&t=1LEgjF7SomyFhaqK0jaDd4bvYjzjjbJtV6OM5eK9Hkk
50,NEXEL PARTNERS,Data Science Specialist,"Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQF9cuUC_p2trA/company-logo_100_100/0/1520240879538?e=2147483647&v=beta&t=T-BQYLSzi7-y7kwL2fWh48x0K2lpPkyVuCxazAuO6NI
51,Reliance Health,Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4D0BAQGz2MAmNGdUfQ/company-logo_100_100/0/1642678205634?e=2147483647&v=beta&t=SWsgAh-SdL8yAoXMt4zhwtxarX-hMKJmfyh2H-j3kL8
52,Floward,Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGQMjUWwbZQig/company-logo_100_100/0/1652682936917?e=2147483647&v=beta&t=QsIjQNOYxqjztTHtEParIcoYb3TnE1SizpJSxixcClQ
53,Fekra Egypt,Python Developer For sports statistics,Egypt,6 hours ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHi412fmYC6kw/company-logo_100_100/0/1618473219765?e=2147483647&v=beta&t=rRY29lmxX3BKrAUyfLlxDUyzhebUWqgh_Vw_qUJv9Ug
54,Udacity,AI Programming with Python,"Cairo, Egypt",3 weeks ago,https://media-exp1.licdn.com/dms/image/C560BAQHiNYfm0YHKrg/company-logo_100_100/0/1656621848272?e=2147483647&v=beta&t=LScuiZRXTMa84YWve4InQYOLbVpxJ8RHRZ-xwrWlJW8
55,Si-Ware Systems,Machine Learning & Data Analysis Graduate Intern,"Cairo, Cairo, Egypt",2 months ago,https://media-exp1.licdn.com/dms/image/C560BAQEJf2IKY2mrrg/company-logo_100_100/0/1657552408696?e=2147483647&v=beta&t=drZXEjcuux9UrI5QzD9eoAm5DpmPrfrh6a2oH6ZOXno
56,Euruq Alsahra,Chief Technology Office  Data Analyst,"Cairo, Cairo, Egypt",1 hour ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHXJwGnCLp93w/company-logo_100_100/0/1662550057230?e=2147483647&v=beta&t=1lQDBtgk8W0OjxB4hUA9FBUdhvBFU6iPH1YjcQ_07XE
57,Axis,Data Analyst,"Cairo, Cairo, Egypt",1 day ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHRFaZ1H7WGFQ/company-logo_100_100/0/1654691837206?e=2147483647&v=beta&t=yxh6qRITMI-oNDOsBl9EyE1jjnS66ZrlJ895xCjqesE
58,MaxAB,Performance Analytics Manager,"Cairo, Egypt",31 minutes ago,https://media-exp1.licdn.com/dms/image/C560BAQEGF_lfyeVKGA/company-logo_100_100/0/1549197689049?e=2147483647&v=beta&t=cWjQf_bjkW6B1R3S0daXQzVNnHBPfsG01HiOAGu1PBs
